[2022-08-01T02:19:50+0000] [PACMAN] Running 'pacman -r /mnt/archinstall -Sy --noconfirm --cachedir=/mnt/archinstall/var/cache/pacman/pkg --noconfirm --config=/etc/pacman.conf base base-devel linux-firmware linux-lts btrfs-progs intel-ucode'
[2022-08-01T02:19:50+0000] [PACMAN] synchronizing package lists
[2022-08-01T02:20:29+0000] [ALPM] transaction started
[2022-08-01T02:20:29+0000] [ALPM] installed iana-etc (20220603-1)
[2022-08-01T02:20:29+0000] [ALPM] installed filesystem (2021.12.07-1)
[2022-08-01T02:20:29+0000] [ALPM] installed linux-api-headers (5.17.5-2)
[2022-08-01T02:20:29+0000] [ALPM] installed tzdata (2022a-1)
[2022-08-01T02:20:29+0000] [ALPM] installed glibc (2.35-6)
[2022-08-01T02:20:29+0000] [ALPM] installed gcc-libs (12.1.0-3)
[2022-08-01T02:20:29+0000] [ALPM] installed ncurses (6.3-3)
[2022-08-01T02:20:29+0000] [ALPM] installed readline (8.1.002-1)
[2022-08-01T02:20:29+0000] [ALPM] installed bash (5.1.016-1)
[2022-08-01T02:20:29+0000] [ALPM] installed attr (2.5.1-2)
[2022-08-01T02:20:29+0000] [ALPM] installed acl (2.3.1-2)
[2022-08-01T02:20:29+0000] [ALPM] installed gmp (6.2.1-2)
[2022-08-01T02:20:29+0000] [ALPM] installed util-linux-libs (2.38-1)
[2022-08-01T02:20:29+0000] [ALPM] installed e2fsprogs (1.46.5-4)
[2022-08-01T02:20:29+0000] [ALPM] installed gdbm (1.23-1)
[2022-08-01T02:20:30+0000] [ALPM] installed openssl (1.1.1.q-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libsasl (2.1.28-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libldap (2.6.3-1)
[2022-08-01T02:20:30+0000] [ALPM] installed keyutils (1.6.3-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libevent (2.1.12-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libverto (0.3.2-4)
[2022-08-01T02:20:30+0000] [ALPM] installed krb5 (1.19.3-3)
[2022-08-01T02:20:30+0000] [ALPM] installed libtirpc (1.3.2-1)
[2022-08-01T02:20:30+0000] [ALPM] installed pambase (20211210-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libcap-ng (0.8.3-1)
[2022-08-01T02:20:30+0000] [ALPM] installed audit (3.0.8-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libxcrypt (4.4.28-2)
[2022-08-01T02:20:30+0000] [ALPM] installed pam (1.5.2-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libcap (2.65-1)
[2022-08-01T02:20:30+0000] [ALPM] installed coreutils (9.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed zlib (1:1.2.12-2)
[2022-08-01T02:20:30+0000] [ALPM] installed xz (5.2.5-3)
[2022-08-01T02:20:30+0000] [ALPM] installed bzip2 (1.0.8-4)
[2022-08-01T02:20:30+0000] [ALPM] installed libseccomp (2.5.4-1)
[2022-08-01T02:20:30+0000] [ALPM] installed file (5.42-1)
[2022-08-01T02:20:30+0000] [ALPM] installed findutils (4.9.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed mpfr (4.1.0.p13-2)
[2022-08-01T02:20:30+0000] [ALPM] installed gawk (5.1.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed pcre (8.45-1)
[2022-08-01T02:20:30+0000] [ALPM] installed grep (3.7-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libgpg-error (1.45-2)
[2022-08-01T02:20:30+0000] [ALPM] installed libgcrypt (1.10.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libtasn1 (4.18.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libffi (3.4.2-5)
[2022-08-01T02:20:30+0000] [ALPM] installed libp11-kit (0.24.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed lz4 (1:1.9.3-2)
[2022-08-01T02:20:30+0000] [ALPM] installed zstd (1.5.2-7)
[2022-08-01T02:20:30+0000] [ALPM] installed systemd-libs (251.3-1)
[2022-08-01T02:20:30+0000] [ALPM] installed procps-ng (3.3.17-1)
[2022-08-01T02:20:30+0000] [ALPM] installed sed (4.8-1)
[2022-08-01T02:20:30+0000] [ALPM] installed tar (1.34-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libunistring (1.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed icu (71.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libxml2 (2.9.14-1)
[2022-08-01T02:20:30+0000] [ALPM] installed gettext (0.21-2)
[2022-08-01T02:20:30+0000] [ALPM] installed hwdata (0.361-1)
[2022-08-01T02:20:30+0000] [ALPM] installed kmod (30-1)
[2022-08-01T02:20:30+0000] [ALPM] installed pciutils (3.8.0-2)
[2022-08-01T02:20:30+0000] [ALPM] installed psmisc (23.5-1)
[2022-08-01T02:20:30+0000] [ALPM] installed shadow (4.11.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed util-linux (2.38-1)
[2022-08-01T02:20:30+0000] [ALPM] installed pcre2 (10.40-1)
[2022-08-01T02:20:30+0000] [ALPM] installed less (1:590-1)
[2022-08-01T02:20:30+0000] [ALPM] installed gzip (1.12-1)
[2022-08-01T02:20:30+0000] [ALPM] installed licenses (20220125-1)
[2022-08-01T02:20:30+0000] [ALPM] installed expat (2.4.8-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libarchive (3.6.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed p11-kit (0.24.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed ca-certificates-utils (20210603-1)
[2022-08-01T02:20:30+0000] [ALPM] installed ca-certificates-mozilla (3.81-1)
[2022-08-01T02:20:30+0000] [ALPM] installed ca-certificates (20210603-1)
[2022-08-01T02:20:30+0000] [ALPM] installed brotli (1.0.9-8)
[2022-08-01T02:20:30+0000] [ALPM] installed libidn2 (2.3.3-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libnghttp2 (1.48.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libpsl (0.21.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libssh2 (1.10.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed curl (7.84.0-2)
[2022-08-01T02:20:30+0000] [ALPM] installed npth (1.6-3)
[2022-08-01T02:20:30+0000] [ALPM] installed libksba (1.6.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libassuan (2.5.5-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libsysprof-capture (3.44.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed glib2 (2.72.3-1)
[2022-08-01T02:20:30+0000] [ALPM] installed json-c (0.16-1)
[2022-08-01T02:20:30+0000] [ALPM] installed tpm2-tss (3.2.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed libsecret (0.20.5-2)
[2022-08-01T02:20:30+0000] [ALPM] installed pinentry (1.2.0-1)
[2022-08-01T02:20:30+0000] [ALPM] installed nettle (3.8-1)
[2022-08-01T02:20:30+0000] [ALPM] installed gnutls (3.7.6-1)
[2022-08-01T02:20:30+0000] [ALPM] installed sqlite (3.39.1-1)
[2022-08-01T02:20:30+0000] [ALPM] installed gnupg (2.2.36-1)
[2022-08-01T02:20:31+0000] [ALPM] installed gpgme (1.17.1-1)
[2022-08-01T02:20:31+0000] [ALPM] installed pacman-mirrorlist (20220724-1)
[2022-08-01T02:20:31+0000] [ALPM] installed pacman (6.0.1-7)
[2022-08-01T02:20:31+0000] [ALPM] installed archlinux-keyring (20220727-1)
[2022-08-01T02:20:31+0000] [ALPM-SCRIPTLET] ==> Appending keys from archlinux.gpg...
[2022-08-01T02:20:33+0000] [ALPM-SCRIPTLET] ==> Updating trust database...
[2022-08-01T02:20:33+0000] [ALPM-SCRIPTLET] gpg: next trustdb check due at 2022-08-09
